year,month,income,family_count,race,eligible,eligible_count
2016,4,15,2,WhiteOnly,False,0
2016,4,15,2,WhiteOnly,False,0
2016,4,15,2,WhiteOnly,False,0
2016,4,15,2,WhiteOnly,False,0
2016,4,15,3,WhiteOnly,False,0
2016,4,15,3,WhiteOnly,False,0
2016,4,15,3,WhiteOnly,False,0
2016,4,14,2,BlackOnly,False,0
2016,4,14,2,WhiteOnly,False,0
2016,4,16,3,WhiteOnly,False,0
2016,4,16,3,WhiteOnly,False,0
2016,4,16,3,WhiteOnly,False,0
2016,4,4,3,WhiteOnly,True,3
2016,4,4,3,WhiteOnly,True,3
2016,4,4,3,WhiteOnly,True,3
2016,4,1,1,WhiteOnly,True,1
2016,4,11,1,WhiteOnly,False,0
2016,4,5,1,WhiteOnly,True,1
2016,4,12,2,WhiteOnly,False,0
2016,4,12,2,AsianOnly,False,0
2016,4,12,1,WhiteOnly,False,0
2016,4,8,1,WhiteOnly,False,0
2016,4,14,3,WhiteOnly,False,0
2016,4,14,3,WhiteOnly,False,0
2016,4,14,3,WhiteOnly,False,0
2016,4,15,2,WhiteOnly,False,0
2016,4,15,2,WhiteOnly,False,0
2016,4,14,4,WhiteOnly,False,0
2016,4,14,4,BlackOnly,False,0
2016,4,14,4,BlackOnly,False,0
2016,4,14,4,BlackOnly,False,0
2016,4,3,2,WhiteOnly,True,2
2016,4,3,2,WhiteOnly,True,2
2016,4,8,1,WhiteOnly,False,0
2016,4,16,4,WhiteOnly,False,0
2016,4,16,4,WhiteOnly,False,0
2016,4,16,4,WhiteOnly,False,0
2016,4,16,4,WhiteOnly,False,0
2016,4,16,2,WhiteOnly,False,0
2016,4,16,2,WhiteOnly,False,0
2016,4,11,4,BlackOnly,False,0
2016,4,11,4,BlackOnly,False,0
2016,4,11,4,BlackOnly,False,0
2016,4,11,4,BlackOnly,False,0
2016,4,12,1,WhiteOnly,False,0
2016,4,15,4,WhiteOnly,False,0
2016,4,15,4,WhiteOnly,False,0
2016,4,15,4,WhiteOnly,False,0
2016,4,15,4,WhiteOnly,False,0
2016,4,12,2,WhiteOnly,False,0
2016,4,12,2,WhiteOnly,False,0
2016,4,11,4,WhiteOnly,False,0
2016,4,11,4,WhiteOnly,False,0
2016,4,11,4,WhiteOnly,False,0
2016,4,11,4,WhiteOnly,False,0
2016,4,14,5,WhiteOnly,False,0
2016,4,14,5,WhiteOnly,False,0
2016,4,14,5,WhiteOnly,False,0
2016,4,14,5,WhiteOnly,False,0
2016,4,14,5,WhiteOnly,False,0
2016,4,9,3,White-HP,False,0
2016,4,9,3,White-HP,False,0
2016,4,9,3,WhiteOnly,False,0
2016,4,15,5,WhiteOnly,False,0
2016,4,15,5,WhiteOnly,False,0
2016,4,15,5,WhiteOnly,False,0
2016,4,15,5,WhiteOnly,False,0
2016,4,15,5,WhiteOnly,False,0
2016,4,13,2,WhiteOnly,False,0
2016,4,13,2,WhiteOnly,False,0
2016,4,13,1,WhiteOnly,False,0
2016,4,15,2,WhiteOnly,False,0
2016,4,15,2,BlackOnly,False,0
2016,4,3,1,WhiteOnly,True,1
2016,4,10,2,WhiteOnly,False,0
2016,4,10,2,WhiteOnly,False,0
2016,4,7,1,WhiteOnly,False,0
2016,4,13,3,WhiteOnly,False,0
2016,4,13,3,WhiteOnly,False,0
2016,4,13,3,WhiteOnly,False,0
2016,4,15,2,WhiteOnly,False,0
2016,4,15,2,WhiteOnly,False,0
2016,4,15,1,WhiteOnly,False,0
2016,4,11,4,BlackOnly,False,0
2016,4,11,4,BlackOnly,False,0
2016,4,11,4,BlackOnly,False,0
2016,4,11,4,BlackOnly,False,0
2016,4,16,3,WhiteOnly,False,0
2016,4,16,3,WhiteOnly,False,0
2016,4,16,3,WhiteOnly,False,0
2016,4,11,1,WhiteOnly,False,0
2016,4,11,4,WhiteOnly,False,0
2016,4,11,4,WhiteOnly,False,0
2016,4,11,4,WhiteOnly,False,0
2016,4,11,4,WhiteOnly,False,0
2016,4,16,5,WhiteOnly,False,0
2016,4,16,5,WhiteOnly,False,0
2016,4,16,5,WhiteOnly,False,0
2016,4,16,5,WhiteOnly,False,0
2016,4,16,5,WhiteOnly,False,0
2016,4,8,1,WhiteOnly,False,0
2016,4,12,2,WhiteOnly,False,0
2016,4,12,2,WhiteOnly,False,0
2016,4,13,2,WhiteOnly,False,0
2016,4,13,2,WhiteOnly,False,0
2016,4,8,1,AsianOnly,False,0
2016,4,7,2,WhiteOnly,False,0
